
[00:00:00.000 --> 00:00:29.980]   The End of the Day
[01:23:08.020 --> 01:23:09.020]   Let's all stand up for the closing praise.
[01:23:09.020 --> 01:23:10.020]   Let's all stand up for the closing praise.
[01:23:10.020 --> 01:23:11.020]   Let's all stand up for the closing praise.
[01:23:11.020 --> 01:23:12.020]   Let's all stand up for the closing praise.
[01:23:12.020 --> 01:23:13.020]   Let's all stand up for the closing praise.
[01:23:13.020 --> 01:23:14.020]   Let's all stand up for the closing praise.
[01:23:14.020 --> 01:23:15.020]   Let's all stand up for the closing praise.
[01:23:15.020 --> 01:23:40.020]   Let's all stand up for the closing praise.
[01:23:40.020 --> 01:23:41.020]   Let's all stand up for the closing praise.
[01:23:41.020 --> 01:23:42.020]   Let's all stand up for the closing praise.
[01:23:42.020 --> 01:23:43.020]   Let's all stand up for the closing praise.
[01:23:43.020 --> 01:23:44.020]   Let's all stand up for the closing praise.
[01:23:44.020 --> 01:23:45.020]   Let's all stand up for the closing praise.
[01:23:45.020 --> 01:23:46.020]   Let's all stand up for the closing praise.
[01:23:46.020 --> 01:23:47.020]   Let's all stand up for the closing praise.
[01:23:47.020 --> 01:23:48.020]   Let's all stand up for the closing praise.
[01:23:48.020 --> 01:23:49.020]   Let's all stand up for the closing praise.
[01:23:49.020 --> 01:23:50.020]   Let's all stand up for the closing praise.
[01:23:50.020 --> 01:23:51.020]   Let's all stand up for the closing praise.
[01:23:51.020 --> 01:23:52.020]   Let's all stand up for the closing praise.
[01:23:52.020 --> 01:23:53.020]   Let's all stand up for the closing praise.
[01:23:53.020 --> 01:23:54.020]   Let's all stand up for the closing praise.
[01:23:54.020 --> 01:23:55.020]   Let's all stand up for the closing praise.
[01:23:55.020 --> 01:23:56.020]   Let's all stand up for the closing praise.
[01:23:56.020 --> 01:23:57.020]   Let's all stand up for the closing praise.
[01:23:57.020 --> 01:23:58.020]   Let's all stand up for the closing praise.
[01:23:58.020 --> 01:23:59.020]   Let's all stand up for the closing praise.
[01:23:59.020 --> 01:24:02.020]   Let's all stand up for the closing praise.
[01:24:02.020 --> 01:24:03.020]   Let's all stand up for the closing praise.
[01:24:03.020 --> 01:24:04.020]   Let's all stand up for the closing praise.
[01:24:04.020 --> 01:24:05.020]   Let's all stand up for the closing praise.
[01:24:05.020 --> 01:24:06.020]   Let's all stand up for the closing praise.
[01:24:06.020 --> 01:24:07.020]   Let's all stand up for the closing praise.
[01:24:07.020 --> 01:24:08.020]   Let's all stand up for the closing praise.
[01:24:08.020 --> 01:24:09.020]   Let's all stand up for the closing praise.
[01:24:09.020 --> 01:24:10.020]   Let's all stand up for the closing praise.
[01:24:10.020 --> 01:24:11.020]   Let's all stand up for the closing praise.
[01:24:11.020 --> 01:24:12.020]   Let's all stand up for the closing praise.
[01:24:12.020 --> 01:24:13.020]   Let's all stand up for the closing praise.
[01:24:13.020 --> 01:24:14.020]   Let's all stand up for the closing praise.
[01:24:14.020 --> 01:24:15.020]   Let's all stand up for the closing praise.
[01:24:15.020 --> 01:24:16.020]   Let's all stand up for the closing praise.
[01:24:16.020 --> 01:24:17.020]   Let's all stand up for the closing praise.
[01:24:17.020 --> 01:24:18.020]   Let's all stand up for the closing praise.
[01:24:18.020 --> 01:24:19.020]   Let's all stand up for the closing praise.
[01:24:19.020 --> 01:24:20.020]   Let's all stand up for the closing praise.
[01:24:20.020 --> 01:24:21.020]   Let's all stand up for the closing praise.
[01:24:21.020 --> 01:24:21.020]   Let's all stand up for the closing praise.
[01:24:21.020 --> 01:24:22.020]   Let's all stand up for the closing praise.
[01:24:22.020 --> 01:24:22.020]   Let's all stand up for the closing praise.
[01:24:22.020 --> 01:24:23.020]   Let's all stand up for the closing praise.
[01:24:23.020 --> 01:24:24.020]   Let's all stand up for the closing praise.
[01:24:24.020 --> 01:24:25.020]   Let's all stand up for the closing praise.
[01:24:25.020 --> 01:24:26.020]   Let's all stand up for the closing praise.
[01:24:26.020 --> 01:24:27.020]   Let's all stand up for the closing praise.
[01:24:27.020 --> 01:24:28.020]   Let's all stand up for the closing praise.
[01:24:28.020 --> 01:24:29.020]   Let's all stand up for the closing praise.
[01:24:29.020 --> 01:24:30.020]   Let's all stand up for the closing praise.
[01:24:30.020 --> 01:24:31.020]   Let's all stand up for the closing praise.
[01:24:31.020 --> 01:24:32.020]   Let's all stand up for the closing praise.
[01:24:32.020 --> 01:24:33.020]   Let's all stand up for the closing praise.
[01:24:33.020 --> 01:24:34.020]   Let's all stand up for the closing praise.
[01:24:34.020 --> 01:24:35.020]   Let's all stand up for the closing praise.
[01:24:35.020 --> 01:24:36.020]   Let's all stand up for the closing praise.
[01:24:36.020 --> 01:24:37.020]   Let's all stand up for the closing praise.
[01:24:37.020 --> 01:24:38.020]   Let's all stand up for the closing praise.
[01:24:38.020 --> 01:24:39.020]   Let's all stand up for the closing praise.
[01:24:39.020 --> 01:24:40.020]   Let's all stand up for the closing praise.
[01:24:40.020 --> 01:24:43.020]   Let's all stand up for the closing praise.
[01:24:43.020 --> 01:24:44.020]   Let's all stand up for the closing praise.
[01:24:44.020 --> 01:24:45.020]   Let's all stand up for the closing praise.
[01:24:45.020 --> 01:24:46.020]   Let's all stand up for the closing praise.
[01:24:46.020 --> 01:24:48.020]   Let's all stand up for the closing praise.
[01:24:48.020 --> 01:24:49.020]   Let's all stand up for the closing praise.
[01:24:49.020 --> 01:24:50.020]   Let's all stand up for the closing praise.
[01:24:50.020 --> 01:24:51.020]   Let's all stand up for the closing praise.
[01:24:51.020 --> 01:24:52.020]   Let's all stand up for the closing praise.
[01:24:52.020 --> 01:24:53.020]   Let's all stand up for the closing praise.
[01:24:53.020 --> 01:24:54.020]   Let's all stand up for the closing praise.
[01:24:54.020 --> 01:24:55.020]   Let's all stand up for the closing praise.
[01:24:55.020 --> 01:24:56.020]   Let's all stand up for the closing praise.
[01:24:56.020 --> 01:24:57.020]   Let's all stand up for the closing praise.
[01:24:57.020 --> 01:24:58.020]   Let's all stand up for the closing praise.
[01:24:58.020 --> 01:24:59.020]   Let's all stand up for the closing praise.
[01:24:59.020 --> 01:25:00.020]   Let's all stand up for the closing praise.
[01:25:00.020 --> 01:25:01.020]   Let's all stand up for the closing praise.
[01:25:01.020 --> 01:25:03.020]   Let's all stand up for the closing praise.
[01:25:03.020 --> 01:25:07.020]   Let's all stand up for the closing praise.
[01:25:07.020 --> 01:25:08.020]   Let's all stand up for the closing praise.
[01:25:08.020 --> 01:25:09.020]   Let's all stand up for the closing praise.
[01:25:09.020 --> 01:25:10.020]   Let's all stand up for the closing praise.
[01:25:10.020 --> 01:25:11.020]   Let's all stand up for the closing praise.
[01:25:11.020 --> 01:25:12.020]   Let's all stand up for the closing praise.
[01:25:12.020 --> 01:25:13.020]   Let's all stand up for the closing praise.
[01:25:13.020 --> 01:25:14.020]   Let's all stand up for the closing praise.
[01:25:14.020 --> 01:25:15.020]   Let's all stand up for the closing praise.
[01:25:15.020 --> 01:25:16.020]   Let's all stand up for the closing praise.
[01:25:16.020 --> 01:25:17.020]   Let's all stand up for the closing praise.
[01:25:17.020 --> 01:25:18.020]   Let's all stand up for the closing praise.
[01:25:18.020 --> 01:25:20.020]   Let's all stand up for the closing praise.
[01:25:20.020 --> 01:25:21.020]   Let's all stand up for the closing praise.
[01:25:21.020 --> 01:25:22.020]   Let's all stand up for the closing praise.
[01:25:22.020 --> 01:25:23.020]   Let's all stand up for the closing praise.
[01:25:23.020 --> 01:25:24.020]   Let's all stand up for the closing praise.
[01:25:24.020 --> 01:25:26.020]   Let's all stand up for the closing praise.
[01:25:26.020 --> 01:25:27.020]   Let's all stand up for the closing praise.
[01:25:27.020 --> 01:25:29.020]   Let's all stand up for the closing praise.
[01:25:29.020 --> 01:25:30.020]   Let's all stand up for the closing praise.
[01:25:30.020 --> 01:25:31.020]   Let's all stand up for the closing praise.
[01:25:31.020 --> 01:25:32.020]   Let's all stand up for the closing praise.
[01:25:32.020 --> 01:25:33.020]   Let's all stand up for the closing praise.
[01:25:33.020 --> 01:25:34.020]   Let's all stand up for the closing praise.
[01:25:34.020 --> 01:25:35.020]   Let's all stand up for the closing praise.
[01:25:35.020 --> 01:25:36.020]   Let's all stand up for the closing praise.
[01:25:36.020 --> 01:25:37.020]   Let's all stand up for the closing praise.
[01:25:37.020 --> 01:25:38.020]   Let's all stand up for the closing praise.
[01:25:38.020 --> 01:25:39.020]   Let's all stand up for the closing praise.
[01:25:39.020 --> 01:25:40.020]   Let's all stand up for the closing praise.
[01:25:40.020 --> 01:25:41.020]   Let's all stand up for the closing praise.
[01:25:41.020 --> 01:25:42.020]   Let's all stand up for the closing praise.
[01:25:42.020 --> 01:25:43.020]   Let's all stand up for the closing praise.
[01:25:43.020 --> 01:25:44.020]   Let's all stand up for the closing praise.
[01:25:44.020 --> 01:25:48.020]   Let's all stand up for the closing praise.
[01:25:48.020 --> 01:25:50.020]   Let's all stand up for the closing praise.

